6552421539046752772_!_102_!_news_entertainment_!_陈妍希，肉肉的小龙女，你喜欢吗_!_小龙女陈妍希,小龙女,肉肉,陈妍希_!_10.0_!_1.0
6552455218565480973_!_102_!_news_entertainment_!_崔泰俊与好兄弟聚会 女友朴信惠西班牙独乐_!_池昌旭,朴信惠,崔泰俊,李宗泫,CNBLUE_!_10.0_!_1.0
6552447901186916872_!_112_!_news_travel_!_湖州来穗吆喝好风景！老广凭身份证游湖州可享优惠_!_联络处,南太湖,广州,湖州旅游,湖州市_!_10.0_!_1.0
6552442565172396547_!_103_!_news_sports_!_意甲第36轮 乌迪内斯完败国际米兰 颜面全无_!_拉菲尼亚,乌迪内斯,巴莱罗,达尼洛,国际米兰_!_10.0_!_1.0
6517159459301622029_!_114_!_stock_!_孙宏斌接盘乐视一年浮亏近30亿，却曲线揽入大量土地，孙宏斌打得是什么算盘？_!_乐视,愿赌服输,融创,乐视网,孙宏斌_!_10.0_!_1.0
6552796663323296269_!_103_!_news_sports_!_烟雾弹？卡纳瓦罗：郑智高拉特还没100%恢复 首回合恒大全力争胜_!_中超,卡纳瓦罗,恒大,郑智,高拉特_!_10.0_!_1.0
6552346143525700104_!_108_!_news_edu_!_北京西城：外区外省市回西城小升初须有房有户_!_公有住宅租赁合同,出生医学证明,西城区,申请表,法定监护人,户口簿,小升初,房屋所有权证书,不动产权证书_!_10.0_!_1.0
6552447863337517581_!_115_!_news_agriculture_!_中国已停止购买美国大豆，东北紧急扩大大豆种植面积！_!_大豆种植面积,美国大豆,生产者补贴,Bunge,轮作试点_!_10.0_!_1.0
6552274661982339597_!_106_!_news_house_!_宜昌恒大华府外展中心5月5日开放 683席奢华平层即将面世_!_宜昌,柏临河,恒大华府,宜昌东站,恒大集团_!_10.0_!_1.0
6552295923450380808_!_107_!_news_car_!_首台宝马8系抵达4S店，帅到一塌糊涂，仅售60万，奔驰奥迪怎么比_!_宝马,宝马8系列,奥迪,4s店,奥迪A9_!_10.0_!_1.0
6552139605196407309_!_112_!_news_travel_!_“穿越山水间，传递巴渝情”，渝贵高铁终于等来正式通车_!_桐梓,王母洞,磁器口,路南石林,贵阳_!_10.0_!_1.0
6552391369527132679_!_113_!_news_world_!_直击 印度的华人村_!_加尔各答,华人,印度,新德里,华人华侨_!_10.0_!_1.0
6552356866515534340_!_107_!_news_car_!_奥迪全球召回116万辆｜一汽丰田奕泽IZOA惊艳亮相_!_一汽丰田,Cabriolet,TOYOTA,DRCC,SAFETY,奥迪A4,Allroad,丰田,奥迪,奥迪Q5,TNGA,奥迪A6_!_10.0_!_1.0
6552999861791228430_!_113_!_news_world_!_普京今日宣誓连任俄总统 梅德韦杰夫政府将辞职_!_梅德韦杰夫,普京,俄罗斯,通讯社,国家杜马_!_10.0_!_1.0
6552158315122524679_!_109_!_news_tech_!_新一代人工智能翻译机横空出世，科大讯飞，搜狗，网易哪家强_!_翻译器,搜狗,翻译机,科大讯飞,网易有道_!_10.0_!_1.0
6552344430345454094_!_10.0_!_news_military_!_解放军：为什么部队山东兵最多？遇到很多山东老班长人很好_!_山东籍,部队,山东,山东人,义务兵,山东兵_!_10.0_!_1.0
6552434358081290766_!_10.0_!_news_military_!_中国到底交付什么样的杀手锏？印战舰不敢上门_!_导弹,反舰导弹,AK630,导弹艇,巴方,印方_!_10.0_!_1.0
6522688568618385928_!_116_!_news_game_!_虞姬：李白敢到我家来吗？李白：泉水杀，输入LLJ看得到什么？_!_李白敢,虞姬,李白,泉水_!_10.0_!_1.0
6491892318314955021_!_101_!_news_culture_!_福建南平樟湖蛇节好玩吗？_!_古田县,蛇神,樟湖蛇节,蛇王,青竹蛇_!_10.0_!_1.0
6551908661080359437_!_104_!_news_finance_!_“股神”巴菲特加速收购苹果公司股份，将买下苹果公司？_!_伯克希尔哈撒韦公司,巴菲特,伯克希尔哈撒,苹果公司,IBM_!_10.0_!_1.0
6550906969157272067_!_104_!_news_finance_!_社保基金一季度持仓：新进109股，京东方A等被大举增持_!_康得新,爱尔眼科,Wind,中金岭南,国电电力,中国铝业,紫金矿业,利亚德,增持,减持,金风科技,社保基金,海螺水泥,个股_!_10.0_!_1.0
6494490012329967885_!_109_!_news_tech_!_为什么感觉只有中美韩三国在做手机？_!_TCL,阿尔卡特,Oppo,出货量,智能手机_!_10.0_!_1.0
6552846610802409992_!_116_!_news_game_!_拳皇的中国角色：镇元斋不愧为中国醉拳宗师，超难成功的无限连_!_镇元斋,醉拳,龙虎之拳,喜剧片,袁小田_!_10.0_!_1.0
6489033589030650126_!_108_!_news_edu_!_北京大学、清华大学之后，中国第三高校是哪所？_!_哈尔滨工业大学,北京大学,清华大学,上海交通大学,中国科学技术大学_!_10.0_!_1.0
6553231906513617412_!_114_!_stock_!_MSCI下周公布最新调整 中金公司料229只A股或被纳入_!_成分股,片仔癀,铜陵有色,MSCI,国金证券,五粮液,中金公司,摩根士丹利,科伦药业,洋河股份,通化东宝,贵州茅台,海康威视,中国太保,A股,小商品城,中信建投证券,大消费,纳入MSCI,食品饮料_!_10.0_!_1.0
6553159753034367501_!_115_!_news_agriculture_!_蓬安县锦屏镇卢家坪村：发展特色产业助民增收致富_!_卢家坪村,蓬安县,锦屏镇,养殖业,贫困群众_!_10.0_!_1.0
6553096172716687885_!_101_!_news_culture_!_秦皇岛那座网红图书馆举行了诗歌朗诵会，北岛和西川都去了_!_香港,诗歌,图书馆,水面波纹,北岛,诗歌朗诵_!_10.0_!_1.0
6553012242743296526_!_106_!_news_house_!_凭什么是“上北深广”？中国城市商业魅力分级排行解读_!_理想城市,中国城市,商业魅力,常住人口,新一线城市,城中村是个什么问题,第一财经周刊,中国城市商业魅力排行榜_!_10.0_!_1.0
6552670683858469379_!_10.0_!_news_story_!_斗罗大陆：为救唐三，唐昊手握昊天锤大闹武魂殿，比比东在又如何_!_唐昊,小舞,武魂殿,史莱克,比比东_!_10.0_!_1.0
6547963931472691716_!_10.0_!_news_story_!_兴唐126：宇文成都是天下第二，他弟弟武艺如何？单雄信一招败北_!_瓦岗军,邱瑞,单雄信,秦琼,宇文成祥_!_10.0_!_1.0
